t,kind,name,model_state,info
2.8,event,v_detect,H/S/O/F/Tb,предмет распознан камерой
2.8,cmd,b_go_table,mT/S/O/F/Tb,"к (0.01, 0.07)"
3.152,event,b_block,sT/S/O/F/Tb,препятствие в 0.35 м
3.648,cmd,b_replan,mT/S/O/F/Tb,"объезд через (-1.70, 0.70)"
14.192,event,b_arrive,T/S/O/F/Tb,ошибка позы 0.010 м
14.192,cmd,a_reach,T/R/O/F/Tb,над столом
16.72,event,a_reached,T/X/O/F/Tb,
16.72,cmd,g_close,T/X/C/F/Tb,
18.208,event,g_ok,T/X/D/F/Hn,зазор пальцев 0.0008
18.208,cmd,a_stow,T/W/D/F/Hn,с предметом
20.72,event,a_stowed,T/S/D/F/Hn,
20.72,cmd,b_go_box,mB/S/D/F/Hn,"к (-0.60, -1.40)"
27.616,event,b_arrive,B/S/D/F/Hn,ошибка позы 0.010 м
27.616,cmd,a_reach,B/R/D/F/Hn,над контейнером
29.664,event,a_reached,B/X/D/F/Hn,
29.664,cmd,g_put,B/X/O/F/Bx,
30.656,cmd,a_stow,B/W/O/F/Bx,
32.912,event,a_stowed,B/S/O/F/Bx,
32.912,cmd,b_go_home,mH/S/O/F/Bx,"к (-1.80, 0.00)"
40.64,event,b_arrive,H/S/O/F/Bx,ошибка позы 0.010 м
