t,kind,name,model_state,info
2.8,event,v_detect,H/S/O/F/Tb,предмет распознан камерой
2.8,cmd,b_go_table,mT/S/O/F/Tb,"к (0.03, 0.11)"
10.512,event,b_arrive,T/S/O/F/Tb,ошибка позы 0.010 м
10.512,cmd,a_reach,T/R/O/F/Tb,над столом
13.04,event,a_reached,T/X/O/F/Tb,
13.04,cmd,g_close,T/X/C/F/Tb,
14.528,event,g_ok,T/X/D/F/Hn,зазор пальцев 0.0008
14.528,cmd,a_stow,T/W/D/F/Hn,с предметом
17.04,event,a_stowed,T/S/D/F/Hn,
17.04,cmd,b_go_box,mB/S/D/F/Hn,"к (-0.60, -1.40)"
19.504,inject,g_slip,mB/S/D/F/Hn,предмет выпал из захвата
19.68,event,g_slip,mB/S/O/F/Fl,зазор пальцев 0.0003: предмета в захвате нет
24.08,event,b_arrive,B/S/O/F/Fl,ошибка позы 0.010 м
24.08,cmd,o_giveup,B/S/O/F/Un,предмет помечен недоступным
24.08,cmd,b_go_home,mH/S/O/F/Un,"к (-1.80, 0.00)"
31.808,event,b_arrive,H/S/O/F/Un,ошибка позы 0.010 м
